"ID","Name","Latitude","Longitude","Era","Branches","Confidence","Source Citation","Historical Context"
"place-delaware-colony","New Castle / Kent Co., Delaware","39.66","-75.56","Colonial","Ramsey; Bower","Needs Review","1744 Delaware Colony marriage register (under review); Holy Trinity (Old Swedes) church records.","Early colonial settlement of Josiah Ramsey Sr. (1728–1811); 1744 Delaware marriage to Alice Bower remains under review vs. alternative Elizabeth Hollis/Grigsby connection."
"place-nc-guilford","Guilford / Rowan Co., North Carolina","36.07","-79.79","Revolutionary","Ramsey","Primary Source","1782 North Carolina Revolutionary War Pay Voucher for Josiah Ramsey Sr.","Militia service and settlement during the American Revolution."
"place-claiborne-tn","Mulberry Gap, Claiborne/Hancock Co., Tennessee","36.56","-83.39","Early Republic","Ramsey; Cowan; Edwards","Primary Source","State of Tennessee Land Grant Entry No. 371 (surveyed 1827, issued 1828) on Mulberry Creek; 1830 & 1840 Federal Censuses for Claiborne County.","Frontier homestead of Josiah Ramsey, Elizabeth Cowan, and Thomas Ramsey."
"place-washington-ky","Rolling Fork, Washington Co., Kentucky","37.68","-85.29","Early Republic","Dyer","Strong Evidence","Washington County, Kentucky tax lists and family birth records for Jonathan Dyer (1802).","Dyer family settlement prior to Indiana westward migration."
"place-floyd-in","Floyd / Harrison Co., Indiana","38.21","-86.12","Pioneer","Dyer","Primary Source","1822 Harrison County Marriage Register (Jonathan Dyer & Fannie Bufford); Indiana probate records.","Indiana frontier settlement of the Dyer family."
"place-davis-ia","Bloomfield, Davis Co., Iowa","40.75","-92.41","Pioneer","Ramsey; Edwards","Primary Source","1850 U.S. Federal Census for Bloomfield Township, Davis County, Iowa (Roll M432_182).","Joint Ramsey and Edwards homestead cluster in Iowa."
"place-decatur-ia","Long Creek, Decatur Co., Iowa","40.74","-93.75","Civil War Era","Ramsey; Baker","Primary Source","1863 Iowa Civil War Draft Registration; 1860/1870 Federal Censuses for Decatur County.","Civil War era farming homestead of James Ramsey and Margaret Baker."
"place-polk-or","Dallas / Salt Creek, Polk Co., Oregon","44.92","-123.31","Oregon Trail","Dyer","Primary Source","Oregon Donation Land Claims and Salt Creek Cemetery inscriptions.","Oregon Trail terminus for Jonathan Dyer and George Washington Dyer."
"place-whitman-wa","Pine City / St. John, Whitman Co., Washington","47.14","-117.47","Turn of Century","Edwards; Dyer","Primary Source","1900/1920 Federal Censuses (Whitman Co., WA); 1923 Armina Ramsey Edwards obituary.","Pacific Northwest agricultural homesteads of Edwards and Dyer lines."
"place-calgary-ab","Calgary, Alberta, Canada","51.04","-114.07","Modern Era","Marchant; Moore","Primary Source","1958 Henderson's Calgary City Directory; 2020 Colleen Gay Lattin obituary.","20th-century urban residence of David Marchant and Nancy Moore Marchant."
"place-ballymena-antrim","Ballymena, County Antrim, Ireland","54.86","-6.28","Colonial / 19th c.","Moore; Law","Primary Source","1846 Kirkinriola Parish Marriage Register (William Moore & Isabella Law, Springwell St).","Ancestral origins of the Moore (schoolmasters/painters) and Law (brassfounders) families."
"place-bristol-ma","Swansea / Rehoboth, Bristol Co., Massachusetts","41.75","-71.19","Colonial","Bowen","Primary Source","Swansea and Rehoboth Town Vital Records (1715 birth, 1737 marriage).","18th-century New England roots of Nathan Bowen and Isreal Bowen."
"place-lambton-on","Mooretown, Lambton Co., Ontario, Canada","42.84","-82.44","Early 19th c.","Bowen","Primary Source","Old Sutherland Cemetery grave marker (1848) and 1819 Ashby Loyal Volunteers militia muster.","Canadian settlement and centenarian burial of Isreal Bowen (1748–1848)."
